Price,MMM,AOS,ABT,ABBV,ACN,ADBE,AMD,AES,AFL,A,APD,ABNB,AKAM,ALB,ARE,ALGN,ALLE,LNT,ALL,GOOGL
Ticker,MMM,AOS,ABT,ABBV,ACN,ADBE,AMD,AES,AFL,A,APD,ABNB,AKAM,ALB,ARE,ALGN,ALLE,LNT,ALL,GOOGL
Date,,,,,,,,,,,,,,,,,,,,
2023-01-17 00:00:00+00:00,105.85284423828125,60.029998779296875,113.38999938964844,152.8300018310547,284.8800048828125,344.3800048828125,71.58999633789062,27.600000381469727,72.44000244140625,155.39999389648438,306.3800048828125,101.2699966430664,88.87999725341797,243.07000732421875,156.16000366210938,246.0399932861328,112.79000091552734,55.08000183105469,135.52000427246094,91.29000091552734
2023-01-18 00:00:00+00:00,102.63378143310547,60.13999938964844,111.51000213623047,149.1999969482422,277.8999938964844,341.30999755859375,70.52999877929688,26.920000076293945,71.87999725341797,154.07000732421875,302.8900146484375,101.11000061035156,87.80000305175781,243.8000030517578,155.19000244140625,246.8000030517578,110.95999908447266,53.709999084472656,132.42999267578125,91.12000274658203
2023-01-19 00:00:00+00:00,99.02173614501953,57.790000915527344,111.80000305175781,148.7100067138672,272.8900146484375,342.5299987792969,67.70999908447266,26.639999389648438,70.68000030517578,152.8699951171875,299.8900146484375,99.0999984741211,86.58999633789062,239.11000061035156,154.33999633789062,236.3000030517578,108.26000213623047,53.209999084472656,124.63999938964844,93.05000305175781
2023-01-20 00:00:00+00:00,100.8779296875,59.150001525878906,112.81999969482422,149.58999633789062,280.4700012207031,356.3800048828125,70.06999969482422,26.93000030517578,71.05000305175781,155.9199981689453,304.3999938964844,101.27999877929688,88.12999725341797,248.49000549316406,157.0399932861328,243.00999450683594,111.30000305175781,53.88999938964844,125.6500015258789,98.0199966430664
2023-01-23 00:00:00+00:00,102.52508544921875,60.209999084472656,114.01000213623047,148.5500030517578,279.3399963378906,364.9800109863281,76.52999877929688,26.90999984741211,71.54000091552734,159.05999755859375,308.7200012207031,105.22000122070312,89.19000244140625,260.6400146484375,159.0399932861328,251.3800048828125,112.08999633789062,53.880001068115234,125.23999786376953,99.79000091552734
2023-01-24 00:00:00+00:00,96.15384674072266,60.66999816894531,112.52999877929688,147.69000244140625,274.8699951171875,361.32000732421875,74.69999694824219,26.989999771118164,72.80000305175781,155.69000244140625,313.3399963378906,104.12999725341797,87.75,264.5299987792969,158.6199951171875,252.6300048828125,113.38999938964844,54.33000183105469,127.26000213623047,97.69999694824219
2023-01-25 00:00:00+00:00,94.42308044433594,60.52000045776367,111.0,147.7899932861328,273.1600036621094,358.1700134277344,74.91000366210938,27.010000228881836,73.08999633789062,155.75999450683594,312.04998779296875,104.44000244140625,86.62000274658203,270.9800109863281,156.75999450683594,252.0800018310547,113.3499984741211,54.40999984741211,128.6199951171875,95.22000122070312
2023-01-26 00:00:00+00:00,94.94147491455078,58.849998474121094,111.06999969482422,147.39999389648438,274.260009765625,365.82000732421875,75.16000366210938,27.6200008392334,72.95999908447266,156.22999572753906,316.6099853515625,109.41999816894531,87.45999908447266,279.45001220703125,157.1999969482422,262.95001220703125,113.25,54.45000076293945,128.60000610351562,97.5199966430664
2023-01-27 00:00:00+00:00,96.36287689208984,60.36000061035156,109.94999694824219,146.27999877929688,277.2699890136719,370.7099914550781,75.4000015258789,26.969999313354492,72.91000366210938,155.69000244140625,314.1499938964844,115.94000244140625,87.41999816894531,281.7200012207031,160.67999267578125,269.20001220703125,114.27999877929688,54.41999816894531,127.83000183105469,99.37000274658203
2023-01-30 00:00:00+00:00,94.13043212890625,59.560001373291016,109.80999755859375,145.64999389648438,274.32000732421875,363.4200134277344,72.44999694824219,26.450000762939453,73.04000091552734,151.74000549316406,313.8999938964844,109.4800033569336,87.33999633789062,271.9800109863281,157.3800048828125,265.82000732421875,114.44999694824219,53.650001525878906,128.0,96.94000244140625
